name,genre,score,director,actor_2_name,actor_1_name,gross,budget
The Shining,Drama,8.4,Stanley Kubrick,Shelley Duvall,Scatman Crothers,46998772.0,19000000.0
The Blue Lagoon,Adventure,5.8,Randal Kleiser,Christopher Atkins,Brooke Shields,58853106.0,4500000.0
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Irvin Kershner,Kenny Baker,Harrison Ford,538375067.0,18000000.0
Airplane!,Comedy,7.7,Jim Abrahams,Lloyd Bridges,Peter Graves,83453539.0,3500000.0
Caddyshack,Comedy,7.3,Harold Ramis,Rodney Dangerfield,Bill Murray,39846344.0,6000000.0
The Blues Brothers,Action,7.9,John Landis,Aretha Franklin,John Belushi,115229890.0,27000000.0
Raging Bull,Biography,8.2,Martin Scorsese,Cathy Moriarty,Robert De Niro,23402427.0,18000000.0
Superman II,Action,6.8,Richard Lester,Ned Beatty,Margot Kidder,108185706.0,54000000.0
The Long Riders,Biography,7.0,Walter Hill,David Carradine,Dennis Quaid,15795189.0,10000000.0
Ordinary People,Drama,7.7,Robert Redford,Elizabeth McGovern,Adam Baldwin,54766923.0,6000000.0
Dressed to Kill,Crime,7.1,Brian De Palma,David Margulies,Angie Dickinson,31899000.0,6500000.0
Somewhere in Time,Drama,7.2,Jeannot Szwarc,Bill Erwin,Teresa Wright,9709597.0,5100000.0
Fame,Drama,6.6,Alan Parker,Kay Panabaker,Kelsey Grammer,21202829.0,18000000.0
The Fog,Horror,6.8,John Carpenter,Hal Holbrook,Jamie Lee Curtis,21448782.0,1000000.0
Heaven's Gate,Adventure,6.8,Michael Cimino,Sam Waterston,Jeff Bridges,3484523.0,44000000.0
Prom Night,Horror,5.4,Paul Lynch,Scott Porter,Ming-Na Wen,14796236.0,20000000.0
Private Benjamin,Comedy,6.2,Howard Zieff,Albert Brooks,Eileen Brennan,69847348.0,10000000.0
The Awakening,Horror,4.8,Mike Newell,Imelda Staunton,Isaac Hempstead Wright,8415112.0,3000000.0
The Island,Action,5.3,Michael Ritchie,Steve Buscemi,Scarlett Johansson,15716828.0,126000000.0
Escape from New York,Action,7.2,John Carpenter,Adrienne Barbeau,Donald Pleasence,25244626.0,6000000.0
The Evil Dead,Horror,7.5,Sam Raimi,Betsy Baker,Ted Raimi,2956630.0,375000.0
Porky's,Comedy,6.2,Bob Clark,Susan Clark,Art Hindle,111289673.0,4000000.0
Blow Out,Crime,7.4,Brian De Palma,Dennis Franz,Nancy Allen,12000000.0,18000000.0
Clash of the Titans,Action,6.9,Desmond Davis,Jason Flemyng,Liam Neeson,41092328.0,125000000.0
Das Boot,Adventure,8.3,Wolfgang Petersen,Martin Semmelrogge,Jürgen Prochnow,11487676.0,14000000.0
Stripes,Comedy,6.9,Ivan Reitman,Harold Ramis,Bill Murray,85297000.0,10000000.0
Endless Love,Drama,4.9,Franco Zeffirelli,Bruce Greenwood,Alex Pettyfer,32492674.0,20000000.0
Time Bandits,Adventure,7.0,Terry Gilliam,Michael Palin,Shelley Duvall,42368025.0,5000000.0
Friday the 13th Part 2,Horror,6.1,Steve Miner,Adrienne King,Betsy Palmer,21722776.0,1250000.0
For Your Eyes Only,Action,6.7,John Glen,Topol,Julian Glover,54813222.0,28000000.0
Halloween II,Horror,6.5,Rick Rosenthal,Tyler Mane,Scout Taylor-Compton,25533818.0,15000000.0
Reds,Biography,7.3,Warren Beatty,Warren Beatty,Paul Sorvino,40382659.0,35000000.0
Chariots of Fire,Biography,7.2,Hugh Hudson,Ben Cross,Alice Krige,59303359.0,5500000.0
History of the World: Part I,Comedy,6.9,Mel Brooks,Sid Caesar,Madeline Kahn,31672907.0,11000000.0
The Howling,Horror,6.6,Joe Dante,Robert Picardo,Patrick Macnee,17985893.0,1000000.0
Dragonslayer,Action,6.7,Matthew Robbins,Ralph Richardson,Ian McDiarmid,14110013.0,18000000.0
Quest for Fire,Adventure,7.3,Jean-Jacques Annaud,Everett McGill,Rae Dawn Chong,20962615.0,12500000.0
Mommie Dearest,Biography,6.7,Frank Perry,Xander Berkeley,Faye Dunaway,19032261.0,5000000.0
The Postman Always Rings Twice,Crime,6.6,Bob Rafelson,Michael Lerner,Anjelica Huston,12376625.0,12000000.0
The Beyond,Horror,6.8,Lucio Fulci,David Warbeck,Catriona MacColl,123843.0,400000.0
My Bloody Valentine,Horror,6.3,George Mihalka,Jaime King,Jensen Ackles,5672031.0,15000000.0
Nighthawks,Action,6.4,Bruce Malmuth,Lindsay Wagner,Sylvester Stallone,19905359.0,5000000.0
Neighbors,Comedy,5.6,John G. Avildsen,Carla Gallo,Craig Roberts,29916207.0,18000000.0
Under the Rainbow,Comedy,5.4,Steve Rash,Adam Arkin,Mako,18826490.0,20000000.0
Quartet,Drama,6.3,James Ivory,Sheridan Smith,Luke Newberry,12042.0,11000000.0
Modern Problems,Comedy,5.1,Ken Shapiro,Dabney Coleman,Brian Doyle-Murray,26154211.0,8000000.0
The Legend of the Lone Ranger,Action,5.1,William A. Fraker,Richard Farnsworth,Jason Robards,12617845.0,18000000.0
Sphinx,Adventure,5.2,Franklin J. Schaffner,William Hootkins,Frank Langella,2022771.0,14000000.0
Heartbeeps,Comedy,4.3,Allan Arkush,Randy Quaid,Bernadette Peters,2154696.0,10000000.0
Inchon,Drama,2.7,Terence Young,Ben Gazzara,Laurence Olivier,5200986.0,48000000.0
The Pursuit of D.B. Cooper,Adventure,5.6,Roger Spottiswoode,Treat Williams,Robert Duvall,3702028.0,12000000.0
Fast Times at Ridgemont High,Comedy,7.2,Amy Heckerling,Judge Reinhold,Jennifer Jason Leigh,27092880.0,4500000.0
Blade Runner,Action,8.1,Ridley Scott,Sean Young,Harrison Ford,41676878.0,28000000.0
